Date,AAPL,AMZN,BRK-B,GOOG,GOOGL,JPM,META,MSFT,NVDA,TSLA,^GSPC
2012-05-18 00:00:00+00:00,18.942142486572266,10.692500114440918,78.91000366210938,14.953948974609375,15.025025367736816,33.4900016784668,38.22999954223633,29.270000457763672,0.3019999861717224,1.8373329639434814,1295.219970703125
2012-05-21 00:00:00+00:00,20.045713424682617,10.905500411987305,79.80000305175781,15.295418739318848,15.368118286132812,32.5099983215332,34.029998779296875,29.75,0.3072499930858612,1.9179999828338623,1315.989990234375
2012-05-22 00:00:00+00:00,19.891786575317383,10.766500473022461,79.6500015258789,14.963912010192871,15.035035133361816,34.0099983215332,31.0,29.760000228881836,0.3034999966621399,2.053333044052124,1316.6300048828125
2012-05-23 00:00:00+00:00,20.37714385986328,10.86400032043457,79.75,15.17960262298584,15.251751899719238,34.2599983215332,32.0,29.110000610351562,0.3109999895095825,2.068000078201294,1318.8599853515625
2012-05-24 00:00:00+00:00,20.190000534057617,10.76200008392334,79.80000305175781,15.035144805908203,15.106607437133789,33.970001220703125,33.029998779296875,29.06999969482422,0.30274999141693115,2.018666982650757,1320.6800537109375
2012-05-25 00:00:00+00:00,20.081785202026367,10.644499778747559,79.25,14.733027458190918,14.80305290222168,33.5,31.90999984741211,29.059999465942383,0.3100000023841858,1.987333059310913,1317.8199462890625
2012-05-29 00:00:00+00:00,20.438213348388672,10.737500190734863,79.81999969482422,14.803014755249023,14.873373031616211,33.630001068115234,28.84000015258789,29.559999465942383,0.3179999887943268,2.1126670837402344,1332.4200439453125
2012-05-30 00:00:00+00:00,20.684642791748047,10.46150016784668,78.83000183105469,14.650835037231445,14.720470428466797,32.959999084472656,28.190000534057617,29.34000015258789,0.31424999237060547,2.0273330211639404,1313.3199462890625
2012-05-31 00:00:00+00:00,20.633214950561523,10.645500183105469,79.36000061035156,14.467272758483887,14.536035537719727,33.150001525878906,29.600000381469727,29.190000534057617,0.31075000762939453,1.9666670560836792,1310.3299560546875
2012-06-01 00:00:00+00:00,20.035356521606445,10.41100025177002,79.0199966430664,14.221195220947266,14.288788795471191,31.93000030517578,27.719999313354492,28.450000762939453,0.2994999885559082,1.8766670227050781,1278.0400390625
